A,1,B,5,92.0
A,2,B,9,93.5
M,1,B,11,95.5
A,3,S,8,94.5
A,4,S,3,98.0
M,2,B,18,90.5
A,5,B,8,92.0
A,6,S,1,99.5
M,1,B,20,94.0
X,5,B,8,92.0
A,7,B,7,94.0
A,8,S,3,95.0
X,1,B,20,94.0
A,9,B,3,92.5
M,2,B,24,94.5
A,10,S,1,99.0
X,6,S,1,99.5
A,11,S,6,96.0
A,12,B,1,93.0
T,6,98.0
A,13,S,7,94.5
A,14,B,10,94.5
A,15,S,3,97.5
M,9,B,9,95.5
M,10,S,5,99.0
X,11,S,6,96.0
A,16,S,7,94.0
A,17,B,10,96.0
A,18,S,6,96.0
M,13,S,14,94.5
A,19,S,3,100.0
A,20,B,2,92.0
T,8,93.0
M,2,B,34,90.5
A,21,S,3,97.5
A,22,S,6,97.5
T,2,91.0
X,20,B,2,92.0
A,23,B,8,90.0
X,21,S,3,97.5
A,24,S,4,96.5
X,9,B,9,95.5
X,14,B,10,94.5
A,25,S,6,94.5
A,26,S,2,97.0
X,15,S,3,97.5
A,27,S,3,95.5
A,28,S,1,97.5
X,4,S,3,98.0
X,22,S,6,97.5
A,29,B,7,90.5
T,3,100.0
A,30,B,7,91.0
A,31,B,6,93.0
A,32,S,6,94.5
A,33,S,6,99.5
A,34,B,10,91.0
A,35,B,4,94.0
A,36,S,1,97.5
T,3,95.5
X,26,S,2,97.0
A,37,S,8,95.0
X,31,B,6,93.0
A,38,S,2,94.5
A,39,S,8,98.0
T,1,91.5
T,10,100.0
X,27,S,3,95.5
A,40,S,5,95.5
A,41,S,8,97.0
X,10,S,5,99.0
X,29,B,7,90.5
A,42,B,7,90.0
A,43,B,10,93.0
A,44,S,1,98.5
A,45,B,2,93.0
A,46,S,8,100.0
A,47,S,5,94.0
A,48,B,6,93.0
X,47,S,5,94.0
X,46,S,8,100.0
A,49,B,3,94.0
A,50,B,7,92.0
A,51,B,8,95.5
X,50,B,7,92.0
X,36,S,1,97.5
X,38,S,2,94.5
T,2,98.5
A,52,B,10,92.0
M,13,S,22,94.5
A,53,S,1,94.0
A,54,B,4,95.5
X,39,S,8,98.0
A,55,S,3,99.0
A,56,B,2,94.5
A,57,S,8,99.5
M,28,S,4,97.5
A,58,S,4,97.5
M,30,B,15,92.5
A,59,B,5,96.0
X,58,S,4,97.5
M,25,S,14,94.5
M,35,B,7,94.0
A,60,S,2,99.5
T,9,93.5
A,61,B,10,95.0
M,55,S,7,99.0
A,62,B,1,91.0
X,53,S,1,94.0
X,30,B,15,92.5
X,48,B,6,93.0
X,60,S,2,99.5
A,63,B,9,91.5
A,64,S,2,95.5
A,65,B,3,91.0
A,66,S,1,95.5
A,67,B,10,92.5
A,68,S,3,96.5
X,32,S,6,94.5
A,69,S,5,96.0
X,56,B,2,94.5
M,62,B,7,91.0
A,70,B,4,93.5
A,71,B,7,90.5
M,43,B,13,93.0
T,5,100.0
A,72,B,5,93.5
A,73,S,9,98.0
